frame,x,y,velocity,snr
52,-0.168,1.780,0.000,21.300
52,-1.274,3.481,0.000,15.300
52,-2.500,2.577,0.000,15.300
52,-1.319,3.603,0.000,15.300
52,-2.500,2.668,0.000,15.300
52,-0.184,0.347,-0.362,44.200
52,-0.331,0.211,-0.362,44.200
53,-0.079,0.037,0.000,36.900
53,0.065,0.058,0.000,36.900
53,-0.112,1.784,0.000,18.300
53,0.959,1.662,0.000,15.700
53,-1.259,3.440,0.000,16.300
53,0.000,0.698,-0.966,25.700
53,-0.262,0.647,-0.966,25.700
53,-0.294,0.187,-0.362,40.300
53,-0.164,0.308,-0.362,40.300
54,0.012,0.392,0.000,30.200
54,-0.057,1.831,0.000,16.500
54,-1.259,3.440,0.000,17.100
54,-2.500,2.547,0.000,17.100
55,-0.079,0.037,0.000,38.500
55,0.065,0.058,0.000,38.500
55,0.000,1.788,0.000,17.300
55,0.899,1.695,0.000,15.200
55,0.000,1.919,0.000,15.200
55,-1.274,3.481,0.000,15.500
55,-2.500,2.577,0.000,15.500
55,-1.319,3.603,0.000,15.500
55,-2.500,2.668,0.000,15.500
55,-0.184,0.347,0.483,46.200
55,-0.331,0.211,0.483,46.200
55,0.109,0.422,0.845,40.300
55,-0.055,0.433,0.845,40.300
56,-0.079,0.037,0.000,40.000
56,0.065,0.058,0.000,40.000
56,0.056,1.787,0.000,18.500
56,-1.274,3.481,0.000,17.500
56,-2.500,2.577,0.000,17.500
56,-0.232,0.369,0.483,48.600
56,-0.395,0.184,0.483,48.600
56,-0.018,0.567,-0.845,57.600
56,-0.544,0.625,-0.121,16.800
57,-0.079,0.037,0.000,33.100
57,0.065,0.058,0.000,33.100
57,-0.056,1.787,0.000,22.200
57,0.899,1.695,0.000,15.600
57,0.000,1.919,0.000,15.600
57,-1.274,3.481,0.000,17.700
57,-2.500,2.577,0.000,17.700
57,-1.319,3.603,0.000,16.100
57,-2.500,2.538,0.000,16.100
57,-0.285,0.386,0.241,39.300
57,-0.465,0.119,0.241,39.300
57,-0.089,0.560,0.483,42.700
57,-0.283,0.491,0.483,42.700
58,-0.079,0.037,0.000,28.200
58,0.065,0.058,0.000,28.200
58,0.000,1.788,0.000,23.500
58,0.899,1.695,0.000,15.900
58,0.000,1.919,0.000,15.900
58,-1.274,3.481,0.000,17.700
58,-2.500,2.577,0.000,17.700
58,-1.319,3.603,0.000,15.600
58,-2.500,2.668,0.000,15.600
58,0.000,0.654,-0.362,32.600
58,-0.245,0.606,-0.362,32.600
58,-0.300,0.374,-0.121,31.400
59,-0.079,0.037,0.000,41.000
59,0.065,0.058,0.000,41.000
59,-0.112,1.784,0.000,17.100
59,0.391,1.745,0.000,17.100
59,-1.274,3.481,0.000,15.800
59,-2.500,2.577,0.000,15.800
59,-0.544,0.625,0.121,17.300
59,0.803,0.206,0.121,17.300
59,-0.106,0.557,0.845,49.900
59,-0.259,0.351,-0.483,41.400
59,-0.422,0.108,-0.483,41.400
60,-0.079,0.037,0.000,40.200
60,0.065,0.058,0.000,40.200
60,0.959,1.662,0.000,15.600
60,-0.120,1.915,0.000,15.600
60,-1.274,3.481,0.000,18.400
60,-2.500,2.577,0.000,18.400
60,-1.319,3.603,0.000,16.100
60,-2.500,2.668,0.000,16.100
60,-0.564,0.546,0.121,16.000
60,-0.082,0.428,0.845,37.900
60,-0.196,0.340,-0.604,43.900
60,-0.343,0.190,-0.604,43.900
61,-0.079,0.037,0.000,19.100
61,0.065,0.058,0.000,19.100
61,0.959,1.662,0.000,15.700
61,-0.120,1.915,0.000,15.700
61,-1.274,3.481,0.000,16.300
61,-2.500,2.577,0.000,16.300
61,-1.319,3.603,0.000,17.000
61,-2.500,2.668,0.000,17.000
61,-0.273,0.218,-0.121,36.000
61,-0.142,0.319,-0.121,36.000
62,-0.079,0.037,0.000,39.300
62,0.065,0.058,0.000,39.300
62,-0.511,0.408,0.000,15.800
62,0.552,0.351,0.000,15.800
62,0.515,1.758,0.000,16.600
62,0.959,1.662,0.000,15.800
62,-0.180,1.910,0.000,15.800
62,-1.274,3.481,0.000,20.000
62,-2.500,2.577,0.000,20.000
62,-1.319,3.603,0.000,15.800
62,-2.500,2.668,0.000,15.800
62,-0.172,0.353,0.604,41.600
62,-0.319,0.229,0.604,41.600
62,-0.014,0.436,-0.966,42.400
63,-0.079,0.037,0.000,41.200
63,0.065,0.058,0.000,41.200
63,0.218,1.731,0.000,16.700
63,-0.382,1.702,0.000,16.700
63,0.959,1.662,0.000,15.300
63,0.000,1.919,0.000,15.300
63,-1.274,3.481,0.000,17.700
63,-2.500,2.577,0.000,17.700
63,-1.319,3.603,0.000,15.500
63,-2.500,2.668,0.000,15.500
63,-0.232,0.369,0.483,43.100
63,-0.395,0.184,0.483,43.100
63,0.000,0.567,-0.845,53.600
64,-0.079,0.037,0.000,26.100
64,0.065,0.058,0.000,26.100
64,0.335,1.756,0.000,20.100
64,-0.335,1.756,0.000,20.100
64,0.899,1.695,0.000,15.500
64,0.060,1.918,0.000,15.500
64,-1.259,3.440,0.000,16.600
64,-2.500,2.547,0.000,16.600
64,-1.274,3.481,0.000,17.800
64,-2.500,2.577,0.000,17.800
64,-0.259,0.351,0.121,30.500
64,-0.422,0.108,0.121,30.500
64,-0.071,0.562,0.241,34.900
64,-0.283,0.491,0.241,34.900
65,-0.079,0.037,0.000,37.500
65,0.065,0.058,0.000,37.500
65,0.391,1.745,0.000,17.700
65,-0.223,1.774,0.000,17.700
65,0.959,1.662,0.000,15.600
65,-1.274,3.481,0.000,17.400
65,-2.500,2.577,0.000,17.400
65,-0.544,0.625,0.121,17.600
65,0.803,0.206,0.121,17.600
65,-0.071,0.562,-0.604,47.100
65,-0.283,0.491,-0.604,47.100
65,-0.259,0.351,-0.241,36.900
65,-0.422,0.108,-0.241,36.900
66,-0.079,0.037,0.000,38.400
66,0.065,0.058,0.000,38.400
66,-0.511,0.408,0.000,15.800
