timestamp_ns,frame,x,y,z,velocity,range,azimuth,elevation,snr,rcs
1744031647088843856,1,0.025,0.264,0.000,0.000,0.265,0.094,0.000,0.000,-83.086
1744031647088843856,1,-0.074,0.254,0.000,0.000,0.265,-0.285,0.000,0.000,-83.086
1744031647088843856,1,-0.164,0.262,0.000,0.000,0.309,-0.560,0.000,0.000,-80.408
1744031647088843856,1,-0.270,0.150,0.000,0.000,0.309,-1.065,0.000,0.000,-80.408
1744031647088843856,1,-0.177,0.306,0.000,0.000,0.353,-0.524,0.000,0.000,-78.089
1744031647088843856,1,-0.320,0.149,0.000,0.000,0.353,-1.134,0.000,0.000,-78.089
1744031647088843856,1,-0.087,0.388,0.000,0.000,0.397,-0.221,0.000,0.000,-76.043
1744031647088843856,1,-0.083,0.433,0.000,0.000,0.441,-0.189,0.000,0.000,-74.212
1744031647088843856,1,-0.574,2.222,0.000,0.000,2.295,-0.253,0.000,0.000,-45.572
1744031647088843856,1,0.017,0.264,0.000,1.216,0.265,0.063,0.000,0.000,-83.086
1744031647088843856,1,-0.074,0.254,0.000,1.216,0.265,-0.285,0.000,0.000,-83.086
1744031647088843856,1,-0.164,0.262,0.000,1.216,0.309,-0.560,0.000,0.000,-80.408
1744031647088843856,1,-0.270,0.150,0.000,1.216,0.309,-1.065,0.000,0.000,-80.408
1744031647088843856,1,-0.177,0.306,0.000,1.216,0.353,-0.524,0.000,0.000,-78.089
1744031647088843856,1,-0.320,0.149,0.000,1.216,0.353,-1.134,0.000,0.000,-78.089
1744031647088843856,1,-2112390123059412992.000,129.347,-0.000,0.000,2112390123059412992.000,-1.571,-0.000,0.000,672.991
1744031647088843856,1,0.000,0.000,-0.000,-13935423.000,0.000,1.571,-1.571,0.000,-100.000
1744031647088843856,1,37778931862957161709568.000,2313292.399,-26048735477760.000,0.000,37778931862957161709568.000,1.571,-0.000,0.000,843.090
1744031647088843856,1,37778931862957161709568.000,2313292.399,-26134890676224.000,0.000,37778931862957161709568.000,1.571,-0.000,0.000,843.090
1744031647088843856,1,-1.216,-0.165,0.312,0.000,1.266,-1.706,0.249,0.000,-55.906
1744031647088843856,1,-1.216,-0.320,0.149,0.000,1.266,-1.828,0.118,0.000,-55.906
1744031647088843856,1,-30779769754779909541009354968268800.000,1884717325434186496.000,37778931862957161709568.000,0.000,30779769754779909541009354968268800.000,-1.571,0.000,0.000,1319.531
1744031647088843856,1,-2313292.278,748.811,37778931862957161709568.000,-100457656.000,37778931862957161709568.000,-1.570,1.571,0.000,843.090
1744031647088843856,1,0.000,0.000,0.000,0.000,0.000,0.785,0.642,0.000,-100.000
1744031647088843856,1,0.000,0.000,0.000,0.000,0.000,0.785,0.484,0.000,-100.000
1744031647088843856,1,2378622023616931299328.000,2378622023616931823616.000,2323858232356896768.000,2323858232356896768.000,3363880328250114179072.000,0.785,0.001,0.000,801.074
1744031647088843856,1,37198620216512856064.000,37198620216512864256.000,152088847244912354131968.000,2547836250048587989248641073152.000,152088856343129146523648.000,0.785,1.570,0.000,867.284
1744031647193880373,2,0.025,0.264,0.000,0.000,0.265,0.094,0.000,0.000,-83.086
1744031647193880373,2,-0.074,0.254,0.000,0.000,0.265,-0.285,0.000,0.000,-83.086
1744031647193880373,2,-0.164,0.262,0.000,0.000,0.309,-0.560,0.000,0.000,-80.408
1744031647193880373,2,-0.270,0.150,0.000,0.000,0.309,-1.065,0.000,0.000,-80.408
1744031647193880373,2,-0.177,0.306,0.000,0.000,0.353,-0.524,0.000,0.000,-78.089
1744031647193880373,2,-0.320,0.149,0.000,0.000,0.353,-1.134,0.000,0.000,-78.089
1744031647193880373,2,-0.087,0.388,0.000,0.000,0.397,-0.221,0.000,0.000,-76.043
1744031647193880373,2,-0.083,0.433,0.000,0.000,0.441,-0.189,0.000,0.000,-74.212
1744031647193880373,2,-0.574,2.222,0.000,0.000,2.295,-0.253,0.000,0.000,-45.572
1744031647193880373,2,0.017,0.264,0.000,1.216,0.265,0.063,0.000,0.000,-83.086
1744031647193880373,2,-0.074,0.254,0.000,1.216,0.265,-0.285,0.000,0.000,-83.086
1744031647193880373,2,-0.164,0.262,0.000,1.216,0.309,-0.560,0.000,0.000,-80.408
1744031647193880373,2,-0.270,0.150,0.000,1.216,0.309,-1.065,0.000,0.000,-80.408
1744031647193880373,2,-0.177,0.306,0.000,1.216,0.353,-0.524,0.000,0.000,-78.089
1744031647193880373,2,-0.320,0.149,0.000,1.216,0.353,-1.134,0.000,0.000,-78.089
1744031647193880373,2,-0.083,0.433,0.000,1.216,0.441,-0.189,0.000,0.000,-74.212
1744031647193880373,2,-0.574,2.222,0.000,1.216,2.295,-0.253,0.000,0.000,-45.572
1744031647193880373,2,0.264,0.000,-1.216,-0.066,1.244,1.571,-1.357,0.000,-56.210
1744031647193880373,2,0.256,0.000,-1.216,-0.164,1.242,1.571,-1.363,0.000,-56.231
1744031647193880373,2,37778931862957157515264.000,2313292.399,-6690726360383488.000,0.000,37778931862957748912128.000,1.571,-0.000,0.000,843.090
1744031647193880373,2,37778931862957161709568.000,27479116.399,-0.000,0.000,37778931862957161709568.000,1.571,-0.000,0.000,843.090
1744031647193880373,2,-43445305862112866209890304.000,2349292153151499957960704.000,0.000,-0.000,43508778138134357961867264.000,-1.517,0.000,0.000,965.543
1744031647193880373,2,890071256901952100305804984320.000,-80841389386827191476551680.000,0.000,-0.000,890071260573191940946058543104.000,1.571,0.000,0.000,1137.977
1744031647193880373,2,0.000,0.000,-0.000,-2492185451055703025416547900325888.000,0.000,1.571,-0.000,0.000,-100.000
1744031647193880373,2,0.000,0.000,-0.000,0.000,0.000,1.571,-1.571,0.000,-100.000
1744031647193880373,2,0.000,0.000,0.000,0.000,0.000,0.785,0.600,0.000,-100.000
1744031647193880373,2,0.000,0.000,0.000,0.000,0.000,0.785,0.637,0.000,-100.000
1744031647193880373,2,0.000,0.000,0.000,0.000,0.000,0.785,0.630,0.000,-100.000
1744031647193880373,2,0.000,0.000,0.000,0.000,0.000,0.520,0.715,0.000,-100.000
