frame,x,y,velocity,snr
1,-0.079,0.037,0.000,38.400
1,0.065,0.058,0.000,38.400
1,0.218,1.378,0.000,36.500
1,-0.627,3.962,0.000,23.400
1,-2.595,4.138,0.000,21.400
2,-0.079,0.037,0.000,38.200
2,0.065,0.058,0.000,38.200
2,0.218,1.378,0.000,36.300
2,-0.627,3.962,0.000,23.000
2,-2.595,4.138,0.000,19.300
3,-0.079,0.037,0.000,38.500
3,0.065,0.058,0.000,38.500
3,0.218,1.378,0.000,37.800
3,-0.627,3.962,0.000,22.800
3,-2.595,4.138,0.000,20.500
4,-0.079,0.037,0.000,38.300
4,0.065,0.058,0.000,38.300
4,0.218,1.378,0.000,37.300
4,-0.627,3.962,0.000,21.800
4,-2.595,4.138,0.000,19.400
5,-0.079,0.037,0.000,38.200
5,0.065,0.058,0.000,38.200
5,0.218,1.378,0.000,36.000
5,-0.627,3.962,0.000,22.300
5,-2.595,4.138,0.000,19.100
5,-4.426,2.065,0.000,19.100
6,-0.079,0.037,0.000,37.900
6,0.065,0.058,0.000,37.900
6,0.218,1.378,0.000,35.600
6,-0.627,3.962,0.000,22.000
6,-2.595,4.138,0.000,20.100
7,-0.079,0.037,0.000,37.600
7,0.065,0.058,0.000,37.600
7,0.218,1.378,0.000,37.000
7,-0.627,3.962,0.000,22.300
7,-2.595,4.138,0.000,20.900
8,-0.079,0.037,0.000,38.100
8,0.065,0.058,0.000,38.100
8,0.218,1.378,0.000,36.900
8,-0.627,3.962,0.000,21.900
8,-2.595,4.138,0.000,20.300
8,-4.426,2.065,0.000,20.300
9,-0.079,0.037,0.000,37.900
9,0.065,0.058,0.000,37.900
9,0.218,1.378,0.000,36.700
9,-0.627,3.962,0.000,21.900
9,-2.595,4.138,0.000,18.600
10,-0.079,0.037,0.000,38.000
10,0.065,0.058,0.000,38.000
10,0.218,1.378,0.000,36.700
10,-0.627,3.962,0.000,22.200
10,-2.595,4.138,0.000,20.900
11,-0.079,0.037,0.000,38.200
11,0.065,0.058,0.000,38.200
11,0.218,1.378,0.000,36.400
11,-0.627,3.962,0.000,22.700
11,-2.595,4.138,0.000,20.400
12,-0.079,0.037,0.000,38.300
12,0.065,0.058,0.000,38.300
12,0.218,1.378,0.000,36.500
12,-0.627,3.962,0.000,22.600
12,-2.595,4.138,0.000,19.900
13,-0.079,0.037,0.000,39.000
13,0.065,0.058,0.000,39.000
13,0.218,1.378,0.000,37.100
13,-0.627,3.962,0.000,21.500
13,-2.595,4.138,0.000,20.900
14,-0.079,0.037,0.000,38.200
14,0.065,0.058,0.000,38.200
14,0.218,1.378,0.000,36.900
14,-0.627,3.962,0.000,21.400
14,-2.747,4.038,0.000,20.400
15,-0.079,0.037,0.000,37.100
15,0.065,0.058,0.000,37.100
15,0.218,1.378,0.000,37.000
15,-0.627,3.962,0.000,21.800
15,-2.595,4.138,0.000,20.700
15,-4.426,2.065,0.000,20.700
16,-0.079,0.037,0.000,36.900
16,0.065,0.058,0.000,36.900
16,0.218,1.378,0.000,37.400
16,-0.627,3.962,0.000,21.200
16,-2.595,4.138,0.000,20.600
17,-0.079,0.037,0.000,37.600
17,0.065,0.058,0.000,37.600
17,0.218,1.378,0.000,36.100
17,-0.627,3.962,0.000,22.400
17,-2.747,4.038,0.000,19.900
18,-0.079,0.037,0.000,36.500
18,0.065,0.058,0.000,36.500
18,0.218,1.378,0.000,35.500
18,-0.627,3.962,0.000,22.000
18,-2.595,4.138,0.000,19.200
18,-4.426,2.065,0.000,19.200
19,-0.079,0.037,0.000,34.600
19,0.065,0.058,0.000,34.600
19,0.218,1.378,0.000,36.700
19,-0.627,3.962,0.000,21.500
19,-2.595,4.138,0.000,19.800
19,-4.426,2.065,0.000,19.800
20,-0.079,0.037,0.000,34.600
20,0.065,0.058,0.000,34.600
20,0.218,1.378,0.000,36.400
20,-0.627,3.962,0.000,22.100
20,-2.595,4.138,0.000,21.400
21,-0.079,0.037,0.000,34.800
21,0.065,0.058,0.000,34.800
21,0.022,0.697,0.000,15.900
21,-0.240,0.655,0.000,15.900
21,0.218,1.378,0.000,36.100
21,-0.627,3.962,0.000,21.600
21,-2.595,4.138,0.000,20.900
22,-0.079,0.037,0.000,36.300
22,0.065,0.058,0.000,36.300
22,0.218,1.378,0.000,36.200
22,-0.627,3.962,0.000,21.900
22,-2.595,4.138,0.000,19.600
23,-0.079,0.037,0.000,35.800
23,0.065,0.058,0.000,35.800
23,0.218,1.378,0.000,37.400
23,-0.627,3.962,0.000,22.100
23,-2.595,4.138,0.000,20.300
24,-0.079,0.037,0.000,37.100
24,0.065,0.058,0.000,37.100
24,0.218,1.378,0.000,35.700
24,-0.627,3.962,0.000,22.200
24,-2.595,4.138,0.000,20.500
25,-0.079,0.037,0.000,36.000
25,0.065,0.058,0.000,36.000
