timestamp_ns,frame,x,y,z,velocity,range,azimuth,elevation,snr,rcs
1744031609363113288,1,0.025,0.264,0.000,0.000,0.265,0.094,0.000,0.000,-83.086
1744031609363113288,1,-0.074,0.254,0.000,0.000,0.265,-0.285,0.000,0.000,-83.086
1744031609363113288,1,-0.164,0.262,0.000,0.000,0.309,-0.560,0.000,0.000,-80.408
1744031609363113288,1,-0.270,0.150,0.000,0.000,0.309,-1.065,0.000,0.000,-80.408
1744031609363113288,1,-0.177,0.306,0.000,0.000,0.353,-0.524,0.000,0.000,-78.089
1744031609363113288,1,-0.320,0.149,0.000,0.000,0.353,-1.134,0.000,0.000,-78.089
1744031609363113288,1,-0.087,0.388,0.000,0.000,0.397,-0.221,0.000,0.000,-76.043
1744031609363113288,1,-0.083,0.433,0.000,0.000,0.441,-0.189,0.000,0.000,-74.212
1744031609363113288,1,-0.574,2.222,0.000,0.000,2.295,-0.253,0.000,0.000,-45.572
1744031609363113288,1,-0.512,2.282,0.000,0.000,2.339,-0.221,0.000,0.000,-45.241
1744031609363113288,1,0.017,0.264,0.000,1.216,0.265,0.063,0.000,0.000,-83.086
1744031609363113288,1,-0.074,0.254,0.000,1.216,0.265,-0.285,0.000,0.000,-83.086
1744031609363113288,1,-0.164,0.262,0.000,1.216,0.309,-0.560,0.000,0.000,-80.408
1744031609363113288,1,-0.270,0.150,0.000,1.216,0.309,-1.065,0.000,0.000,-80.408
1744031609363113288,1,-0.177,0.306,0.000,1.216,0.353,-0.524,0.000,0.000,-78.089
1744031609363113288,1,-0.320,0.149,0.000,1.216,0.353,-1.134,0.000,0.000,-78.089
1744031609363113288,1,-0.087,0.388,0.000,1.216,0.397,-0.221,0.000,0.000,-76.043
1744031609363113288,1,0.433,0.000,1.216,-0.574,1.291,1.571,1.228,0.000,-55.569
1744031609363113288,1,2.222,0.000,1.216,-0.512,2.532,1.571,0.501,0.000,-43.858
1744031609363113288,1,37778931862957161709568.000,2313292.399,-26048735477760.000,0.000,37778931862957161709568.000,1.571,-0.000,0.000,843.090
1744031609363113288,1,37778931862957161709568.000,2313292.399,-26134890676224.000,0.000,37778931862957161709568.000,1.571,-0.000,0.000,843.090
1744031609363113288,1,-0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-100.000
1744031609363113288,1,0.000,-0.000,0.000,-0.000,0.000,1.571,0.000,0.000,-100.000
1744031609363113288,1,2349292153151495662993408.000,143852655.781,-0.000,890071256901952100305804984320.000,2349292153151495662993408.000,1.571,-0.000,0.000,914.837
1744031609363113288,1,-80841389386878250047766528.000,4950107437.563,-0.000,0.000,80841389386878250047766528.000,-1.571,-0.000,0.000,976.305
1744031609363113288,1,0.000,-1.216,-0.574,2.222,1.344,3.142,-0.441,0.000,-54.863
1744031609363113288,1,0.000,-1.216,-0.512,2.282,1.319,3.142,-0.398,0.000,-55.193
1744031609363113288,1,0.000,0.000,0.000,0.000,0.000,0.798,0.609,0.000,-100.000
1744031609363113288,1,0.000,0.000,0.000,0.000,0.000,0.763,0.660,0.000,-100.000
1744031609363113288,1,0.000,0.000,0.000,0.000,0.000,0.785,0.607,0.000,-100.000
1744031609363113288,1,0.000,0.000,0.000,0.000,0.000,0.785,0.630,0.000,-100.000
1744031609468045975,2,0.025,0.264,0.000,0.000,0.265,0.094,0.000,0.000,-83.086
1744031609468045975,2,-0.074,0.254,0.000,0.000,0.265,-0.285,0.000,0.000,-83.086
1744031609468045975,2,-0.164,0.262,0.000,0.000,0.309,-0.560,0.000,0.000,-80.408
1744031609468045975,2,-0.270,0.150,0.000,0.000,0.309,-1.065,0.000,0.000,-80.408
1744031609468045975,2,-0.177,0.306,0.000,0.000,0.353,-0.524,0.000,0.000,-78.089
1744031609468045975,2,-0.320,0.149,0.000,0.000,0.353,-1.134,0.000,0.000,-78.089
1744031609468045975,2,-0.087,0.388,0.000,0.000,0.397,-0.221,0.000,0.000,-76.043
1744031609468045975,2,-0.083,0.433,0.000,0.000,0.441,-0.189,0.000,0.000,-74.212
1744031609468045975,2,-0.574,2.222,0.000,0.000,2.295,-0.253,0.000,0.000,-45.572
1744031609468045975,2,-0.512,2.282,0.000,0.000,2.339,-0.221,0.000,0.000,-45.241
1744031609468045975,2,0.017,0.264,0.000,1.216,0.265,0.063,0.000,0.000,-83.086
1744031609468045975,2,-0.074,0.254,0.000,1.216,0.265,-0.285,0.000,0.000,-83.086
1744031609468045975,2,-0.164,0.262,0.000,1.216,0.309,-0.560,0.000,0.000,-80.408
1744031609468045975,2,-0.270,0.150,0.000,1.216,0.309,-1.065,0.000,0.000,-80.408
1744031609468045975,2,-0.177,0.306,0.000,1.216,0.353,-0.524,0.000,0.000,-78.089
1744031609468045975,2,-0.320,0.149,0.000,1.216,0.353,-1.134,0.000,0.000,-78.089
1744031609468045975,2,-0.087,0.388,0.000,1.216,0.397,-0.221,0.000,0.000,-76.043
1744031609468045975,2,0.433,0.000,1.216,-0.574,1.291,1.571,1.228,0.000,-55.569
1744031609468045975,2,2.222,0.000,1.216,-0.512,2.532,1.571,0.501,0.000,-43.858
1744031609468045975,2,0.000,-0.000,-0.000,-0.000,0.000,3.142,-0.000,0.000,-100.000
1744031609468045975,2,0.000,-0.000,0.000,-0.000,0.000,3.142,1.571,0.000,-100.000
1744031609468045975,2,-0.000,-99898112.000,0.000,37778931862957161709568.000,99898112.000,-3.142,0.000,0.000,259.982
1744031609468045975,2,0.819,-6690726360383488.000,0.000,37778931862957161709568.000,6690726360383488.000,3.142,0.000,0.000,573.019
1744031609468045975,2,-30779769754779909541009354968268800.000,1884717325434186496.000,37778931862957161709568.000,0.000,30779769754779909541009354968268800.000,-1.571,0.000,0.000,1319.531
1744031609468045975,2,-2313292.278,748.811,37778931862957161709568.000,0.000,37778931862957161709568.000,-1.570,1.571,0.000,843.090
1744031609468045975,2,0.000,-6450.663,105347314078055399424.000,7298885.000,105347314078055399424.000,3.142,1.571,0.000,740.905
1744031609468045975,2,0.000,-0.316,-5163252380073984.000,0.000,5163252380073984.000,3.142,-1.571,0.000,568.517
1744031609468045975,2,-0.000,0.000,0.000,0.000,0.000,-1.571,0.000,0.000,-100.000
1744031609468045975,2,0.000,0.000,0.000,0.000,0.000,0.752,0.631,0.000,-100.000
1744031609468045975,2,0.000,0.000,0.000,0.000,0.000,0.915,0.525,0.000,-100.000
1744031609468045975,2,0.000,0.000,0.000,0.000,0.000,0.785,0.648,0.000,-100.000
1744031609468045975,2,-170930473430195336486235210999679418368.000,48420662300607808274432.000,38060258220880114483200.000,37183983517524033536.000,170930473430195336486235210999679418368.000,-1.571,0.000,0.000,1469.313
1744031609573022215,3,0.025,0.264,0.000,0.000,0.265,0.094,0.000,0.000,-83.086
1744031609573022215,3,-0.074,0.254,0.000,0.000,0.265,-0.285,0.000,0.000,-83.086
1744031609573022215,3,-0.164,0.262,0.000,0.000,0.309,-0.560,0.000,0.000,-80.408
1744031609573022215,3,-0.270,0.150,0.000,0.000,0.309,-1.065,0.000,0.000,-80.408
1744031609573022215,3,-0.177,0.306,0.000,0.000,0.353,-0.524,0.000,0.000,-78.089
1744031609573022215,3,-0.320,0.149,0.000,0.000,0.353,-1.134,0.000,0.000,-78.089
1744031609573022215,3,-0.087,0.388,0.000,0.000,0.397,-0.221,0.000,0.000,-76.043
1744031609573022215,3,-0.083,0.433,0.000,0.000,0.441,-0.189,0.000,0.000,-74.212
1744031609573022215,3,-0.574,2.222,0.000,0.000,2.295,-0.253,0.000,0.000,-45.572
1744031609573022215,3,-0.512,2.282,0.000,0.000,2.339,-0.221,0.000,0.000,-45.241
1744031609573022215,3,0.017,0.264,0.000,1.216,0.265,0.063,0.000,0.000,-83.086
1744031609573022215,3,-0.074,0.254,0.000,1.216,0.265,-0.285,0.000,0.000,-83.086
1744031609573022215,3,-0.164,0.262,0.000,1.216,0.309,-0.560,0.000,0.000,-80.408
1744031609573022215,3,-0.270,0.150,0.000,1.216,0.309,-1.065,0.000,0.000,-80.408
1744031609573022215,3,-0.177,0.306,0.000,1.216,0.353,-0.524,0.000,0.000,-78.089
1744031609573022215,3,-0.320,0.149,0.000,1.216,0.353,-1.134,0.000,0.000,-78.089
1744031609573022215,3,-0.087,0.388,0.000,1.216,0.397,-0.221,0.000,0.000,-76.043
1744031609573022215,3,-2112390123059412992.000,129.347,-0.000,-0.000,2112390123059412992.000,-1.571,-0.000,0.000,672.991
1744031609573022215,3,0.000,0.000,-0.000,0.000,0.000,1.571,-1.571,0.000,-100.000
1744031609573022215,3,0.000,-0.000,-13935423.000,-0.000,13935423.000,3.142,-1.571,0.000,225.765
1744031609573022215,3,0.000,-0.000,-0.000,-0.000,0.000,3.142,-0.000,0.000,-100.000
1744031609573022215,3,-1.216,-0.164,0.262,0.000,1.254,-1.705,0.210,0.000,-56.065
1744031609573022215,3,-1.216,-0.270,0.150,0.000,1.254,-1.790,0.120,0.000,-56.065
1744031609573022215,3,-0.320,0.149,0.000,-1.216,0.353,-1.134,0.000,0.000,-78.089
1744031609573022215,3,-0.087,0.388,0.000,-1.216,0.397,-0.221,0.000,0.000,-76.043
1744031609573022215,3,0.000,37778931862957161709568.000,0.000,-95.219,37778931862957161709568.000,0.000,0.000,0.000,843.090
1744031609573022215,3,0.000,37778931862957161709568.000,-0.000,-410327482368.000,37778931862957161709568.000,0.000,-0.000,0.000,843.090
1744031609573022215,3,37778931862957161709568.000,2313292.399,-0.000,-10141204801825835211973625643008.000,37778931862957161709568.000,1.571,-0.000,0.000,843.090
1744031609573022215,3,-10427478435910579400544048119808.000,638498904485797.000,0.000,0.000,10427478435910579400544048119808.000,-1.571,0.000,0.000,1180.727
1744031609573022215,3,-0.000,-0.000,0.002,0.000,0.002,-3.142,1.571,0.000,-100.000
1744031609573022215,3,152231809511483603156992.000,152231809511483636711424.000,148726926870841393152.000,148726926870841393152.000,215288341008007307460608.000,0.785,0.001,0.000,873.321
1744031609573022215,3,327087212332435046400.000,-2670869776985216739279120960875134976.000,152231791497085093675008.000,152231809511483603156992.000,2670869776985216739279120960875134976.000,3.142,0.000,0.000,1397.066
1744031609677800231,4,0.025,0.264,0.000,0.000,0.265,0.094,0.000,0.000,-83.086
1744031609677800231,4,-0.074,0.254,0.000,0.000,0.265,-0.285,0.000,0.000,-83.086
1744031609677800231,4,-0.164,0.262,0.000,0.000,0.309,-0.560,0.000,0.000,-80.408
1744031609677800231,4,-0.270,0.150,0.000,0.000,0.309,-1.065,0.000,0.000,-80.408
1744031609677800231,4,-0.177,0.306,0.000,0.000,0.353,-0.524,0.000,0.000,-78.089
1744031609677800231,4,-0.320,0.149,0.000,0.000,0.353,-1.134,0.000,0.000,-78.089
1744031609677800231,4,-0.087,0.388,0.000,0.000,0.397,-0.221,0.000,0.000,-76.043
1744031609677800231,4,-0.083,0.433,0.000,0.000,0.441,-0.189,0.000,0.000,-74.212
1744031609677800231,4,-0.574,2.222,0.000,0.000,2.295,-0.253,0.000,0.000,-45.572
1744031609677800231,4,-0.512,2.282,0.000,0.000,2.339,-0.221,0.000,0.000,-45.241
1744031609677800231,4,0.017,0.264,0.000,1.216,0.265,0.063,0.000,0.000,-83.086
1744031609677800231,4,-0.074,0.254,0.000,1.216,0.265,-0.285,0.000,0.000,-83.086
1744031609677800231,4,-0.164,0.262,0.000,1.216,0.309,-0.560,0.000,0.000,-80.408
1744031609677800231,4,-0.270,0.150,0.000,1.216,0.309,-1.065,0.000,0.000,-80.408
1744031609677800231,4,-0.177,0.306,0.000,1.216,0.353,-0.524,0.000,0.000,-78.089
1744031609677800231,4,-0.320,0.149,0.000,1.216,0.353,-1.134,0.000,0.000,-78.089
