timestamp_ns,frame,x,y,z,velocity,range,azimuth,elevation,snr,rcs
1744031118058329037,1,0.025,0.264,0.000,0.000,0.265,0.094,0.000,0.000,-83.086
1744031118058329037,1,-0.074,0.254,0.000,0.000,0.265,-0.285,0.000,0.000,-83.086
1744031118058329037,1,-0.164,0.262,0.000,0.000,0.309,-0.560,0.000,0.000,-80.408
1744031118058329037,1,-0.270,0.150,0.000,0.000,0.309,-1.065,0.000,0.000,-80.408
1744031118058329037,1,-0.177,0.306,0.000,0.000,0.353,-0.524,0.000,0.000,-78.089
1744031118058329037,1,-0.320,0.149,0.000,0.000,0.353,-1.134,0.000,0.000,-78.089
1744031118058329037,1,-0.087,0.388,0.000,0.000,0.397,-0.221,0.000,0.000,-76.043
1744031118058329037,1,-0.083,0.433,0.000,0.000,0.441,-0.189,0.000,0.000,-74.212
1744031118058329037,1,-0.248,0.365,0.000,0.000,0.441,-0.597,0.000,0.000,-74.212
1744031118058329037,1,0.025,0.264,0.000,1.216,0.265,0.094,0.000,0.000,-83.086
1744031118058329037,1,-0.074,0.254,0.000,1.216,0.265,-0.285,0.000,0.000,-83.086
1744031118058329037,1,-0.164,0.262,0.000,1.216,0.309,-0.560,0.000,0.000,-80.408
1744031118058329037,1,-0.270,0.150,0.000,1.216,0.309,-1.065,0.000,0.000,-80.408
1744031118058329037,1,-0.177,0.306,0.000,1.216,0.353,-0.524,0.000,0.000,-78.089
1744031118058329037,1,-0.320,0.149,0.000,1.216,0.353,-1.134,0.000,0.000,-78.089
1744031118058329037,1,-0.087,0.388,0.000,1.216,0.397,-0.221,0.000,0.000,-76.043
1744031118058329037,1,-0.083,0.433,0.000,1.216,0.441,-0.189,0.000,0.000,-74.212
1744031118058329037,1,0.025,0.264,0.000,-1.216,0.265,0.094,0.000,0.000,-83.086
1744031118058329037,1,-0.066,0.256,0.000,-1.216,0.265,-0.253,0.000,0.000,-83.086
1744031118058329037,1,-0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-100.000
1744031118058329037,1,0.000,-0.000,0.000,-0.000,0.000,1.571,0.000,0.000,-100.000
1744031118058329037,1,0.000,0.000,-0.000,-0.000,0.000,1.571,-1.549,0.000,-100.000
1744031118058329037,1,-94957.477,0.000,-0.000,-0.000,94957.477,-1.571,-0.000,0.000,139.101
1744031118058329037,1,0.000,-1.216,0.000,0.000,1.216,3.142,0.000,0.000,-56.609
1744031118058329037,1,0.000,0.000,0.000,0.000,0.000,0.785,0.597,0.000,-100.000
1744031118058329037,1,-2315022000717824.000,0.142,-0.000,-40746844750111076333471662080.000,2315022000717824.000,-1.571,-0.000,0.000,554.582
1744031118163066472,2,0.025,0.264,0.000,0.000,0.265,0.094,0.000,0.000,-83.086
1744031118163066472,2,-0.074,0.254,0.000,0.000,0.265,-0.285,0.000,0.000,-83.086
1744031118163066472,2,-0.164,0.262,0.000,0.000,0.309,-0.560,0.000,0.000,-80.408
1744031118163066472,2,-0.270,0.150,0.000,0.000,0.309,-1.065,0.000,0.000,-80.408
1744031118163066472,2,-0.177,0.306,0.000,0.000,0.353,-0.524,0.000,0.000,-78.089
1744031118163066472,2,-0.320,0.149,0.000,0.000,0.353,-1.134,0.000,0.000,-78.089
1744031118163066472,2,-0.087,0.388,0.000,0.000,0.397,-0.221,0.000,0.000,-76.043
1744031118163066472,2,-0.083,0.433,0.000,0.000,0.441,-0.189,0.000,0.000,-74.212
1744031118163066472,2,-0.248,0.365,0.000,0.000,0.441,-0.597,0.000,0.000,-74.212
1744031118163066472,2,0.025,0.264,0.000,1.216,0.265,0.094,0.000,0.000,-83.086
1744031118163066472,2,-0.074,0.254,0.000,1.216,0.265,-0.285,0.000,0.000,-83.086
1744031118163066472,2,-0.164,0.262,0.000,1.216,0.309,-0.560,0.000,0.000,-80.408
1744031118163066472,2,-0.270,0.150,0.000,1.216,0.309,-1.065,0.000,0.000,-80.408
1744031118163066472,2,-0.177,0.306,0.000,1.216,0.353,-0.524,0.000,0.000,-78.089
1744031118163066472,2,-0.320,0.149,0.000,1.216,0.353,-1.134,0.000,0.000,-78.089
1744031118163066472,2,-0.087,0.388,0.000,1.216,0.397,-0.221,0.000,0.000,-76.043
1744031118163066472,2,-0.083,0.433,0.000,1.216,0.441,-0.189,0.000,0.000,-74.212
1744031118163066472,2,0.025,0.264,0.000,-1.216,0.265,0.094,0.000,0.000,-83.086
1744031118163066472,2,-0.066,0.256,0.000,-1.216,0.265,-0.253,0.000,0.000,-83.086
1744031118163066472,2,105923774830358822912.000,6485.961,0.000,-0.000,105923774830358822912.000,1.571,0.000,0.000,741.000
1744031118163066472,2,-0.032,0.000,0.000,-0.000,0.032,-1.571,0.000,0.000,-100.000
1744031118163066472,2,0.149,0.000,-1.216,-0.074,1.225,1.571,-1.449,0.000,-56.479
1744031118163066472,2,0.390,0.000,-1.216,-0.083,1.277,1.571,-1.260,0.000,-55.758
1744031118163066472,2,0.000,-1.216,0.000,0.000,1.216,3.142,0.000,0.000,-56.609
1744031118163066472,2,0.000,0.000,0.000,0.000,0.000,0.785,0.597,0.000,-100.000
1744031118163066472,2,-2315022000717824.000,0.142,-0.000,-162987379000444305333886648320.000,2315022000717824.000,-1.571,-0.000,0.000,554.582
1744031118267920727,3,0.025,0.264,0.000,0.000,0.265,0.094,0.000,0.000,-83.086
