timestamp_ns,frame,x,y,z,velocity,range,azimuth,elevation,snr,rcs
1741961046121279696,528,-0.020,0.654,0.000,0.121,0.654,-0.031,0.000,16.500,-50.874
1741961046121279696,528,0.311,0.768,0.000,-0.121,0.829,0.384,0.000,32.300,-30.968
1741961046218972109,529,-0.020,0.654,0.000,0.121,0.654,-0.031,0.000,25.000,-42.374
1741961046218972109,529,0.337,0.757,0.000,-0.362,0.829,0.418,0.000,35.000,-28.268
1741961046218972109,529,0.252,1.594,0.000,-0.121,1.613,0.157,0.000,16.400,-35.290
1741961046316748891,530,0.294,0.728,0.000,0.000,0.785,0.384,0.000,28.700,-35.507
1741961046316748891,530,-0.020,0.654,0.000,0.121,0.654,-0.031,0.000,27.400,-39.974
1741961046316748891,530,0.343,0.706,0.000,-0.362,0.785,0.453,0.000,42.200,-22.007
1741961046425462142,531,0.218,0.663,0.000,0.121,0.698,0.318,0.000,0.000,-66.253
1741961046523125270,532,0.207,0.802,0.000,0.483,0.829,0.253,0.000,0.000,-63.268
1741961046621283699,533,0.000,0.741,0.000,0.241,0.741,0.000,0.000,23.300,-41.900
1741961046621283699,533,0.136,0.861,0.000,0.604,0.872,0.157,0.000,50.900,-11.477
1741961046718496710,534,0.114,0.909,0.000,0.483,0.916,0.125,0.000,0.000,-61.529
1741961046815451727,535,0.074,0.781,0.000,0.241,0.785,0.094,0.000,18.600,-45.607
1741961046815451727,535,0.060,0.957,0.000,0.362,0.959,0.063,0.000,47.500,-13.221
1741961046923594645,536,0.026,0.828,0.000,0.121,0.829,0.031,0.000,28.800,-34.468
1741961046923594645,536,0.063,1.001,0.000,0.241,1.003,0.063,0.000,45.200,-14.749
1741961047021279995,537,0.026,0.828,0.000,0.121,0.829,0.031,0.000,30.000,-33.268
1741961047021279995,537,0.065,1.045,0.000,0.121,1.047,0.063,0.000,43.200,-16.010
1741961047118964192,538,0.033,1.046,0.000,0.121,1.047,0.031,0.000,24.600,-34.610
1741961047118964192,538,0.065,1.045,0.000,-0.121,1.047,0.063,0.000,25.500,-33.710
1741961047216592434,539,0.026,0.828,0.000,-0.121,0.829,0.031,0.000,25.800,-37.468
1741961047216592434,539,0.033,1.046,0.000,-0.121,1.047,0.031,0.000,40.900,-18.310
1741961047324564190,540,0.000,1.003,0.000,0.000,1.003,0.000,0.000,35.100,-24.849
1741961047324564190,540,0.031,1.002,0.000,-0.362,1.003,0.031,0.000,50.800,-9.149
1741961047324564190,540,-0.093,0.735,0.000,-0.121,0.741,-0.125,0.000,20.700,-44.500
1741961047324564190,540,0.026,0.828,0.000,-0.121,0.829,0.031,0.000,25.200,-38.068
1741961047421855409,541,0.030,0.959,0.000,-0.362,0.959,0.031,0.000,50.500,-10.221
1741961047421855409,541,0.049,0.783,0.000,-0.121,0.785,0.063,0.000,25.500,-38.707
1741961047519598847,542,0.029,0.915,0.000,-0.483,0.916,0.031,0.000,55.800,-5.729
1741961047519598847,542,0.046,0.740,0.000,-0.241,0.741,0.063,0.000,18.800,-46.400
1741961047617187414,543,0.027,0.872,0.000,-0.604,0.872,0.031,0.000,57.700,-4.677
1741961047617187414,543,-0.072,2.310,0.000,-0.604,2.311,-0.031,0.000,15.700,-29.747
1741961047725285318,544,-0.106,1.697,0.000,-0.966,1.701,-0.063,0.000,17.000,-33.776
1741961047725285318,544,0.000,0.829,0.000,-0.604,0.829,0.000,0.000,63.600,0.332
1741961047725285318,544,-0.071,2.266,0.000,-0.483,2.268,-0.031,0.000,17.900,-27.878
1741961047823442534,545,-0.045,1.438,0.000,-0.966,1.439,-0.031,0.000,26.800,-26.878
1741961047823442534,545,-0.101,1.610,0.000,-0.966,1.613,-0.063,0.000,20.000,-31.690
1741961047823442534,545,-0.025,0.785,0.000,-0.483,0.785,-0.031,0.000,64.900,0.693
1741961047823442534,545,0.000,2.180,0.000,-0.483,2.180,0.000,0.000,22.000,-24.459
1741961047823442534,545,-0.602,1.355,0.000,-0.121,1.483,-0.418,0.000,19.400,-33.759
1741961047823442534,545,-0.046,1.482,0.000,-0.121,1.483,-0.031,0.000,19.400,-33.759
1741961047920657509,546,-0.042,1.351,0.000,-0.966,1.352,-0.031,0.000,34.000,-20.764
1741961047920657509,546,-0.023,0.741,0.000,-0.483,0.741,-0.031,0.000,65.600,0.400
1741961047920657509,546,-0.067,2.136,0.000,-0.483,2.137,-0.031,0.000,20.900,-25.910
1741961048017591726,547,-0.061,0.651,0.000,0.000,0.654,-0.094,0.000,55.100,-12.274
1741961048017591726,547,-0.079,1.262,0.000,-0.845,1.265,-0.063,0.000,31.900,-24.022
1741961048017591726,547,-0.020,0.654,0.000,-0.483,0.654,-0.031,0.000,69.900,2.526
1741961048017591726,547,-0.064,2.048,0.000,-0.483,2.049,-0.031,0.000,27.000,-20.534
1741961048125666796,548,-0.057,0.608,0.000,0.000,0.610,-0.094,0.000,53.700,-14.873
1741961048125666796,548,-0.074,1.175,0.000,-0.845,1.177,-0.063,0.000,27.100,-30.064
1741961048125666796,548,-0.038,0.609,0.000,-0.362,0.610,-0.063,0.000,71.100,2.527
1741961048125666796,548,-0.251,1.990,0.000,-0.362,2.006,-0.125,0.000,22.300,-25.608
1741961048223345442,549,-0.068,1.088,0.000,-0.483,1.090,-0.063,0.000,30.100,-28.401
1741961048223345442,549,-0.158,1.255,0.000,-0.483,1.265,-0.125,0.000,18.800,-37.122
1741961048223345442,549,-0.038,0.609,0.000,-0.241,0.610,-0.063,0.000,70.500,1.927
1741961048223345442,549,-0.376,1.970,0.000,-0.241,2.006,-0.189,0.000,24.700,-23.208
1741961048320643262,550,-0.053,0.564,0.000,0.121,0.567,-0.094,0.000,50.300,-19.560
1741961048320643262,550,-0.035,0.566,0.000,-0.121,0.567,-0.063,0.000,53.800,-16.060
1741961048320643262,550,-0.068,1.088,0.000,-0.121,1.090,-0.063,0.000,20.300,-38.201
1741961048418348538,551,-0.038,0.609,0.000,0.241,0.610,-0.063,0.000,68.700,0.127
1741961048418348538,551,-0.376,1.970,0.000,0.241,2.006,-0.189,0.000,27.000,-20.908
1741961048418348538,551,-0.068,1.088,0.000,0.604,1.090,-0.063,0.000,26.400,-32.101
1741961048526826837,552,-0.041,0.653,0.000,0.604,0.654,-0.063,0.000,70.100,2.726
1741961048526826837,552,-0.320,2.024,0.000,0.604,2.049,-0.157,0.000,24.400,-23.134
1741961048526826837,552,-0.422,1.284,0.000,-0.724,1.352,-0.318,0.000,19.600,-35.164
1741961048526826837,552,-0.343,1.172,0.000,-0.604,1.221,-0.285,0.000,24.800,-31.732
1741961048624508238,553,-0.240,0.655,0.000,0.000,0.698,-0.351,0.000,43.100,-23.153
1741961048624508238,553,-0.255,0.696,0.000,0.000,0.741,-0.351,0.000,43.400,-21.800
1741961048624508238,553,-0.046,0.740,0.000,0.845,0.741,-0.063,0.000,66.300,1.100
1741961048624508238,553,-0.338,1.309,0.000,-0.241,1.352,-0.253,0.000,31.400,-23.364
1741961048722225897,554,-0.046,1.482,0.000,0.121,1.483,-0.031,0.000,17.400,-35.759
1741961048722225897,554,-0.026,0.828,0.000,0.845,0.829,-0.031,0.000,63.900,0.632
1741961048722225897,554,0.000,2.224,0.000,0.845,2.224,0.000,0.000,22.000,-24.115
1741961048722225897,554,-0.414,1.604,0.000,-0.483,1.657,-0.253,0.000,21.400,-29.827
1741961048722225897,554,-0.334,1.489,0.000,-0.241,1.526,-0.221,0.000,26.900,-25.755
1741961048819927396,555,0.000,1.526,0.000,0.121,1.526,0.000,0.000,17.500,-35.155
1741961048819927396,555,0.046,0.740,0.000,0.483,0.741,0.063,0.000,20.100,-45.100
1741961048819927396,555,0.000,0.916,0.000,0.845,0.916,0.000,0.000,60.000,-1.529
1741961048819927396,555,-0.144,2.307,0.000,0.845,2.311,-0.063,0.000,16.200,-29.247
1741961048917199468,556,0.074,0.781,0.000,0.483,0.785,0.094,0.000,24.000,-40.207
1741961048917199468,556,0.030,0.959,0.000,0.845,0.959,0.031,0.000,56.300,-4.421
1741961049025273917,557,0.104,0.822,0.000,0.241,0.829,0.125,0.000,25.200,-38.068
1741961049025273917,557,0.065,1.045,0.000,0.724,1.047,0.063,0.000,53.300,-5.910
1741961049122970326,558,0.300,0.911,0.000,0.121,0.959,0.318,0.000,23.000,-37.721
1741961049122970326,558,0.109,0.865,0.000,0.241,0.872,0.125,0.000,22.200,-40.177
1741961049122970326,558,0.106,1.129,0.000,0.604,1.134,0.094,0.000,43.800,-14.019
1741961049220661706,559,0.114,0.909,0.000,0.241,0.916,0.125,0.000,24.700,-36.829
1741961049220661706,559,-2.575,1.638,0.000,0.483,3.052,-1.004,0.000,19.000,-21.614
1741961049220661706,559,0.110,1.172,0.000,0.604,1.177,0.094,0.000,40.900,-16.264
1741961049318317629,560,0.114,0.909,0.000,0.121,0.916,0.125,0.000,28.400,-33.129
1741961049318317629,560,0.153,1.211,0.000,0.483,1.221,0.125,0.000,30.800,-25.732
1741961049416017644,561,0.143,0.904,0.000,0.121,0.916,0.157,0.000,27.600,-33.929
1741961049416017644,561,-0.368,1.255,0.000,0.362,1.308,-0.285,0.000,23.000,-32.333
1741961049416017644,561,0.123,1.302,0.000,0.362,1.308,0.094,0.000,23.000,-32.333
1741961049524654350,562,-0.296,1.319,0.000,0.121,1.352,-0.221,0.000,0.000,-54.764
1741961049622375646,563,0.390,0.877,0.000,-0.121,0.959,0.418,0.000,0.000,-60.721
1741961049720652846,564,0.123,1.302,0.000,-0.362,1.308,0.094,0.000,23.900,-31.433
1741961049720652846,564,-0.327,1.267,0.000,-0.362,1.308,-0.253,0.000,23.900,-31.433
1741961049720652846,564,0.150,0.948,0.000,-0.121,0.959,0.157,0.000,24.900,-35.821
