timestamp_ns,frame,x,y,z,velocity,range,azimuth,elevation,snr,rcs
1742570422507232192,130,-0.079,0.037,0.000,0.000,0.087,-1.134,0.000,34.200,-68.177
1742570422507232192,130,0.065,0.058,0.000,0.000,0.087,0.848,0.000,34.200,-68.177
1742570422507232192,130,0.294,0.728,0.000,0.000,0.785,0.384,0.000,37.900,-26.307
1742570422507232192,130,-0.514,1.156,0.000,0.000,1.265,-0.418,0.000,16.600,-39.322
1742570422507232192,130,-0.079,1.262,0.000,0.000,1.265,-0.063,0.000,16.600,-39.322
1742570422507232192,130,1.622,7.234,0.000,0.000,7.413,0.221,0.000,15.400,-9.800
1742570422608363936,131,-0.079,0.037,0.000,0.000,0.087,-1.134,0.000,34.100,-68.277
1742570422608363936,131,0.065,0.058,0.000,0.000,0.087,0.848,0.000,34.100,-68.277
1742570422608363936,131,0.294,0.728,0.000,0.000,0.785,0.384,0.000,37.900,-26.307
1742570422608363936,131,-0.514,1.156,0.000,0.000,1.265,-0.418,0.000,16.600,-39.322
1742570422608363936,131,-0.079,1.262,0.000,0.000,1.265,-0.063,0.000,16.600,-39.322
1742570422608363936,131,1.622,7.234,0.000,0.000,7.413,0.221,0.000,15.900,-9.300
1742570422708353161,132,-0.079,0.037,0.000,0.000,0.087,-1.134,0.000,34.100,-68.277
1742570422708353161,132,0.065,0.058,0.000,0.000,0.087,0.848,0.000,34.100,-68.277
1742570422708353161,132,0.294,0.728,0.000,0.000,0.785,0.384,0.000,37.900,-26.307
1742570422708353161,132,-0.514,1.156,0.000,0.000,1.265,-0.418,0.000,16.600,-39.322
1742570422708353161,132,-0.079,1.262,0.000,0.000,1.265,-0.063,0.000,16.600,-39.322
1742570422708353161,132,2.479,3.953,0.000,0.121,4.666,0.560,0.000,16.800,-16.443
1742570422808343577,133,-0.079,0.037,0.000,0.000,0.087,-1.134,0.000,34.000,-68.377
1742570422808343577,133,0.065,0.058,0.000,0.000,0.087,0.848,0.000,34.000,-68.377
1742570422808343577,133,0.294,0.728,0.000,0.000,0.785,0.384,0.000,37.800,-26.407
1742570422808343577,133,-0.514,1.156,0.000,0.000,1.265,-0.418,0.000,16.600,-39.322
1742570422808343577,133,-0.079,1.262,0.000,0.000,1.265,-0.063,0.000,16.600,-39.322
1742570422808343577,133,1.622,7.234,0.000,0.000,7.413,0.221,0.000,15.400,-9.800
1742570422908866591,134,-0.079,0.037,0.000,0.000,0.087,-1.134,0.000,34.300,-68.077
1742570422908866591,134,0.065,0.058,0.000,0.000,0.087,0.848,0.000,34.300,-68.077
1742570422908866591,134,0.294,0.728,0.000,0.000,0.785,0.384,0.000,38.100,-26.107
1742570422908866591,134,-0.514,1.156,0.000,0.000,1.265,-0.418,0.000,16.600,-39.322
1742570422908866591,134,-0.079,1.262,0.000,0.000,1.265,-0.063,0.000,16.600,-39.322
1742570422908866591,134,0.878,3.915,0.000,0.000,4.012,0.221,0.000,15.200,-20.667
1742570422908866591,134,1.284,6.725,0.000,0.000,6.846,0.189,0.000,15.500,-11.082
1742570422908866591,134,1.622,7.234,0.000,0.000,7.413,0.221,0.000,15.400,-9.800
1742570423009513367,135,-0.079,0.037,0.000,0.000,0.087,-1.134,0.000,34.300,-68.077
1742570423009513367,135,0.065,0.058,0.000,0.000,0.087,0.848,0.000,34.300,-68.077
1742570423009513367,135,0.294,0.728,0.000,0.000,0.785,0.384,0.000,38.100,-26.107
1742570423009513367,135,-0.514,1.156,0.000,0.000,1.265,-0.418,0.000,16.600,-39.322
1742570423009513367,135,-0.079,1.262,0.000,0.000,1.265,-0.063,0.000,16.600,-39.322
1742570423009513367,135,1.390,7.282,0.000,0.000,7.413,0.189,0.000,15.500,-9.700
1742570423109527237,136,-0.079,0.037,0.000,0.000,0.087,-1.134,0.000,34.500,-67.877
1742570423109527237,136,0.065,0.058,0.000,0.000,0.087,0.848,0.000,34.500,-67.877
1742570423109527237,136,0.294,0.728,0.000,0.000,0.785,0.384,0.000,38.300,-25.907
1742570423109527237,136,-0.514,1.156,0.000,0.000,1.265,-0.418,0.000,16.500,-39.422
1742570423109527237,136,-0.079,1.262,0.000,0.000,1.265,-0.063,0.000,16.500,-39.422
1742570423109527237,136,1.622,7.234,0.000,0.000,7.413,0.221,0.000,15.900,-9.300
1742570423210745423,137,-0.079,0.037,0.000,0.000,0.087,-1.134,0.000,34.200,-68.177
1742570423210745423,137,0.065,0.058,0.000,0.000,0.087,0.848,0.000,34.200,-68.177
1742570423210745423,137,0.294,0.728,0.000,0.000,0.785,0.384,0.000,38.100,-26.107
1742570423210745423,137,-0.514,1.156,0.000,0.000,1.265,-0.418,0.000,16.900,-39.022
1742570423210745423,137,-0.079,1.262,0.000,0.000,1.265,-0.063,0.000,16.900,-39.022
1742570423210745423,137,1.622,7.234,0.000,0.000,7.413,0.221,0.000,15.700,-9.500
1742570423310798547,138,-0.079,0.037,0.000,0.000,0.087,-1.134,0.000,34.400,-67.977
1742570423310798547,138,0.065,0.058,0.000,0.000,0.087,0.848,0.000,34.400,-67.977
1742570423310798547,138,0.294,0.728,0.000,0.000,0.785,0.384,0.000,38.300,-25.907
1742570423310798547,138,-0.514,1.156,0.000,0.000,1.265,-0.418,0.000,16.700,-39.222
1742570423310798547,138,-0.079,1.262,0.000,0.000,1.265,-0.063,0.000,16.700,-39.222
1742570423310798547,138,1.622,7.234,0.000,0.000,7.413,0.221,0.000,16.100,-9.100
1742570423411860250,139,-0.079,0.037,0.000,0.000,0.087,-1.134,0.000,34.500,-67.877
1742570423411860250,139,0.065,0.058,0.000,0.000,0.087,0.848,0.000,34.500,-67.877
1742570423411860250,139,0.294,0.728,0.000,0.000,0.785,0.384,0.000,38.300,-25.907
1742570423411860250,139,-0.514,1.156,0.000,0.000,1.265,-0.418,0.000,16.600,-39.322
1742570423411860250,139,-0.079,1.262,0.000,0.000,1.265,-0.063,0.000,16.600,-39.322
1742570423411860250,139,1.284,6.725,0.000,0.000,6.846,0.189,0.000,15.300,-11.282
1742570423511262675,140,-0.079,0.037,0.000,0.000,0.087,-1.134,0.000,34.200,-68.177
1742570423511262675,140,0.065,0.058,0.000,0.000,0.087,0.848,0.000,34.200,-68.177
1742570423511262675,140,0.294,0.728,0.000,0.000,0.785,0.384,0.000,38.000,-26.207
1742570423511262675,140,-0.514,1.156,0.000,0.000,1.265,-0.418,0.000,16.600,-39.322
1742570423511262675,140,-0.079,1.262,0.000,0.000,1.265,-0.063,0.000,16.600,-39.322
1742570423511262675,140,1.622,7.234,0.000,0.000,7.413,0.221,0.000,15.600,-9.600
1742570423612415890,141,-0.079,0.037,0.000,0.000,0.087,-1.134,0.000,34.000,-68.377
1742570423612415890,141,0.065,0.058,0.000,0.000,0.087,0.848,0.000,34.000,-68.377
1742570423612415890,141,0.294,0.728,0.000,0.000,0.785,0.384,0.000,37.800,-26.407
